"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,380.108108108108,0.409905092816424,37
"2",1,2,424.888888888889,0.427883713582453,36
"3",1,3,451.666666666667,0.42025392883535,18
"4",1,4,421.076923076923,0.419843114139888,26
"5",1,5,496.869565217391,0.429312964312098,23
"6",1,6,591.659090909091,0.44194581876277,44
"7",1,7,469.265306122449,0.442098143629102,49
"8",1,8,526.090909090909,0.453818077253122,22
"9",1,9,490.772727272727,0.436583364868997,44
"10",1,10,443.875,0.445521356857274,16
"11",2,1,506.5,0.452186833410638,34
"12",2,2,694.380952380952,0.44497655114578,21
"13",2,3,448.8125,0.417732111059265,16
"14",2,4,490.192307692308,0.386203962391814,26
"15",2,5,474.888888888889,0.432563016126822,18
"16",2,6,512.179487179487,0.439185814197503,39
"17",2,7,577.466666666667,0.448993039844594,30
"18",2,8,562.777777777778,0.434713232157627,9
"19",2,9,489.833333333333,0.413965847621542,6
"20",2,10,532.744186046512,0.460562642201449,43
"21",2,11,509.821428571429,0.454649923186776,56
"22",2,12,586.538461538462,0.463377501173748,39
"23",2,13,424.28,0.4262903134731,25
"24",2,14,629.863636363636,0.429609130316573,22
"25",2,15,467,0.45393793735579,45
"26",2,16,435.909090909091,0.390705931803704,11
"27",2,17,539.5,0.425065063593827,4
"28",2,18,631.185185185185,0.456314625455922,27
"29",3,1,900.80487804878,0.45290618388533,41
"30",3,2,407.914893617021,0.404841985088595,47
"31",3,3,693.765957446809,0.436379049756657,47
"32",3,4,977.706666666667,0.463511004271311,75
"33",3,5,750.467532467532,0.454345148921759,77
"34",3,6,764.426666666667,0.453993834295501,75
"35",3,7,600.44,0.414565374980678,25
"36",3,8,353.529411764706,0.368367184132066,17
"37",3,9,356.083333333333,0.412355096565056,24
"38",3,10,541.851063829787,0.430949578986755,47
"39",4,1,507.614035087719,0.458101279567405,57
"40",4,2,521.035714285714,0.451565521853241,28
"41",4,3,599.153846153846,0.46056670140133,13
"42",4,4,465.5,0.460378353377936,10
"43",4,5,560.023255813953,0.467577610799583,43
"44",4,6,624.416666666667,0.443817404427729,48
"45",4,7,604.53488372093,0.454290596282139,43
"46",4,8,555.5,0.458936383854891,28
"47",4,9,574.5,0.441247668410522,22
"48",4,10,544.692307692308,0.462447540189526,13
"49",4,11,547.9375,0.456303997288039,16
"50",4,12,628.428571428571,0.419243287471943,7
"51",4,13,948.071428571429,0.465106000435776,14
"52",4,14,510.416666666667,0.422078565204555,24
"53",5,1,533.321428571429,0.432728348789548,28
"54",5,2,563.642857142857,0.476429379059172,14
"55",5,3,706.470588235294,0.468349247902077,17
