"","Year","Borough","Sub_Borough","averaged"
"1",2017,1,1,0.577260871113429
"2",2017,1,2,0.570266849350764
"3",2017,1,3,0.558767070098666
"4",2017,1,4,0.540822199588766
"5",2017,1,5,0.547330416545851
"6",2017,1,6,0.564710226877093
"7",2017,1,7,0.590421164339352
"8",2017,1,8,0.594220211050601
"9",2017,1,9,0.572935355261779
"10",2017,1,10,0.568482499400851
"11",2017,2,1,0.591470298923391
"12",2017,2,2,0.603676007055676
"13",2017,2,3,0.569053806382572
"14",2017,2,4,0.569701490819112
"15",2017,2,5,0.585856622581496
"16",2017,2,6,0.594567597772201
"17",2017,2,7,0.579357117272505
"18",2017,2,8,0.571254840545584
"19",2017,2,9,0.569334732108082
"20",2017,2,10,0.572743046625531
"21",2017,2,11,0.577412683040198
"22",2017,2,12,0.584717024335173
"23",2017,2,13,0.615384393156777
"24",2017,2,14,0.574170752820097
"25",2017,2,15,0.578148204511435
"26",2017,2,16,0.567405452949961
"27",2017,2,17,0.559769099265869
"28",2017,2,18,0.575580187387529
"29",2017,3,1,0.616735343236106
"30",2017,3,2,0.584061010843998
"31",2017,3,3,0.617529519181741
"32",2017,3,4,0.638643422007396
"33",2017,3,5,0.61073915533543
"34",2017,3,6,0.611697013933538
"35",2017,3,7,0.564961813922894
"36",2017,3,8,0.569763323732909
"37",2017,3,9,0.603656788804734
"38",2017,3,10,0.56240390724614
"39",2017,4,1,0.57904822941737
"40",2017,4,2,0.579009821023962
"41",2017,4,3,0.588956877816769
"42",2017,4,4,0.583961465404509
"43",2017,4,5,0.579012612949484
"44",2017,4,6,0.606881849224771
"45",2017,4,7,0.589611220476965
"46",2017,4,8,0.597049067364894
"47",2017,4,9,0.590408094993525
"48",2017,4,10,0.587288380817832
"49",2017,4,11,0.580396963596782
"50",2017,4,12,0.569205440279785
"51",2017,4,13,0.571176894939094
"52",2017,4,14,0.592226011200106
"53",2017,5,1,0.57946394947497
"54",2017,5,2,0.587179257074602
"55",2017,5,3,0.570894353102232
